account_name,segment,city,website,linkedin_company,contact_name,contact_role,contact_linkedin,contact_email,source,status,pain_signal,first_outreach_date,last_touch_date,next_step,next_step_date,demo_date,pilot_interest,estimated_monthly_volume,notes
"CSA Amsterdam","SaaS executive search / GTM recruitment","Schiphol-Amsterdam","https://csa-amsterdam.nl/","","","Office contact","","ams@continental-search.com","official_site","ready_to_send","Specialist search partner for SaaS and B2B software companies; useful for the English and international candidate angle","","","Send an email focused on clean candidate presentation for English-language and GTM search workflows","2026-04-10","","","10-25","Public Amsterdam office email on the official site. Source: https://csa-amsterdam.nl/"
"T2 IT Detachering","IT detacheringsbureau","Amstelveen","https://t2.nl/contact/","","","Recruitment contact","","recruitment@t2.nl","official_site","ready_to_send","Clear IT detachering fit and public recruitment inbox; good target for source-CV to client-ready workflow testing","","","Send an outreach email focused on speeding up client-ready consultant profiles from messy source CVs","2026-04-10","","","20-50","Recruitment inbox is publicly listed on the official contact page. Source: https://t2.nl/contact/"
"Interim Recruiters","interim professionals / boutique recruitment","Schiphol-Rijk / Zoetermeer","https://interimrecruiters.nl/en/contact/","","","Office contact","","welcome@interimrecruiters.nl","official_site","ready_to_send","Boutique positioning around interim professionals mediation; useful for recruiter-heavy candidate presentation workflow","","","Send an email focused on faster polished submissions for interim professionals","2026-04-10","","","10-30","Public office inbox on the official contact page. Source: https://interimrecruiters.nl/en/contact/"
"Top of Minds Interim Solutions","interim solutions / executive search","Amsterdam","","","Ian Dove","Managing Director","","iandove@topofminds.com","official_site","ready_to_send","Strong interim and executive search signal with named interim leader; relevant for high-quality candidate profile presentation","","","Send a direct email focused on premium candidate presentation and quicker client packs","2026-04-10","","","10-30","Named interim contact and direct email found on the official interim page. Source: https://topofminds.com/en/interim/"
"Search & Co Group","interim professionals / recruitment","Amsterdam","https://searchco.nl/en/interim-professionals","","Jim","Contact person","","jim@searchco.nl","official_site","ready_to_send","Amsterdam agency handling interim professionals; direct client contact and public inbox suggest presentation pain at scale. Maurice asked that future questions go to Jim.","","","Send an email focused on cleaner candidate submissions for interim placements","2026-04-10","","","10-25","Public office inbox on the official interim professionals page. Source: https://searchco.nl/en/interim-professionals"
"NextJob Outplacement","outplacementbureau","Amsterdam / Soest","https://www.nextjob.nl/werkgever/kosten-outplacement-traject.html","","Jordy Schimmel","Appointment contact","","info@nextjob.nl","official_site","ready_to_send","Employer-facing outplacement provider with explicit employer offer; good fit for candidate-document workflows tied to transitions","","","Send a short email focused on helping employers receive cleaner client-ready candidate documents during transitions","2026-04-10","","","10-25","Public employer-facing contact details on the official outplacement page. Source: https://www.nextjob.nl/werkgever/kosten-outplacement-traject.html"
"GORToutplacement","outplacementbureau","Amsterdam","https://gortoutplacement.nl/outplacement/","","Carolien van der Vleuten","Adviseur outplacement","","carolienvandervleuten@gortcoaching.nl","official_site","ready_to_send","Large outplacement provider with named advisor for organisational use cases; relevant for employer-side transition workflows","","","Send an email focused on efficient, polished candidate packs for outplacement clients","2026-04-10","","","10-25","Named advisor and direct email are public on the official outplacement page. Source: https://gortoutplacement.nl/outplacement/"
"Dynamisch Bureau","outplacement / loopbaan / re-integratie","Den Haag","https://www.dynamischbureau.nl/","","","Office contact","","info@dynamischbureau.nl","official_site","ready_to_send","Employer-facing outplacement and career-transition bureau; broad support model but still useful for pilot outreach","","","Send an email focused on faster document preparation for outplacement and reintegration candidates","2026-04-10","","","10-20","Public office inbox on the official site. Source: https://www.dynamischbureau.nl/"
"Ceres Recruitment","recruitment / interim solutions specialist","Meppel / Naaldwijk","https://www.ceresrecruitment.nl/en/contact","","Jan Borgers","Managing Partner","","jan.borgers@ceresrecruitment.nl","official_site","ready_to_send","Sector specialist with executive and interim work; direct managing-partner contact makes it suitable for founder outreach","","","Send a direct founder email focused on polished candidate profiles and faster employer submissions","2026-04-10","","","10-25","Named managing partner and direct email on the official contact page. Source: https://www.ceresrecruitment.nl/en/contact"
"Stätter Recruitment","interim management / recruitment","Amsterdam","https://statterrecruitment.com/en/contact/","","","Office contact","","info@statterrecruitment.com","official_site","ready_to_send","Amsterdam recruitment firm with interim-management angle and public office contact info","","","Send an outreach email focused on faster client-ready submissions for interim and recruitment cases","2026-04-10","","","10-25","Public contact inbox listed on the official contact page. Source: https://statterrecruitment.com/en/contact/"
