priority,tier,segment,organization,target_url,language,pitch_asset,pitch_angle,contact_route,status
P1,Tier 1,coach-network,Noloc - Gemeente intermediair article,https://www.noloc.nl/nieuws/2025/02/24/loopbaanprofessional-is-belangrijke-intermediair-binnen-de-gemeente,nl,"/for-coaches | /partners","Municipality-facing coach angle: job coaches can refer clients to practical Dutch CV and work-law tools.","info@noloc.nl",todo
P1,Tier 2,expat,The Hague International Centre - Kickstart your career in South Holland,https://www.thehagueinternationalcentre.nl/events/2025-06/kickstart-your-career-in-south-holland,en,"/engels-cv-template | /cv-maken-in-engels | /tools/zoekjaar-checker","Offer a resource-page or workshop follow-up for internationals learning Dutch job-market basics.","International Centre events or partnership contact",todo
P1,Tier 2,expat,Leiden International Centre - Online UWV EURES Workshop,https://www.leideninternationalcentre.nl/living-here/events/1751019604/online-uwv-eures-workshop,en,"/engels-cv-template | /tools/zoekjaar-checker | /tools/eu-blue-card-checker","Strong fit for internationals needing CV, visa, and first-job-in-NL resources.","International Centre events contact",todo
P1,Tier 2,media,IamExpat Webinar - Job Hunting in the Netherlands,https://www.iamexpat.nl/lifestyle/events-festivals-netherlands/iamexpat-webinar-job-hunting-netherlands/,en,"/engels-cv-template | /cv-maken-in-engels | /tools/zoekjaar-checker","Pitch speaker partnership, newsletter mention, or a follow-up tool/resource page for webinar attendees.","events@iamexpat.nl",todo
P1,Tier 2,media,IamExpat - Recruiters not responding article,https://www.iamexpat.nl/career/employment-news/top-reasons-recruiters-are-not-responding-your-job-application,en,"/engels-cv-template | /tools/cv-keywords | /tools/cv-vacature-match","Editorial contribution angle around ATS, Dutch CV adaptation, and keyword tooling.","editor@iamexpat.nl",todo
P1,Tier 2,recruitment,Undutchables - Preparing a good CV,https://undutchables.nl/get-ready/preparing-a-good-cv,en,"/engels-cv-template | /cv-maken-in-engels | /tools/zoekjaar-checker","Complement their expat CV advice with practical tools for editing and Dutch-market readiness.","Undutchables content or candidate resources contact",todo
P1,Tier 2,recruitment,Undutchables - Finding a job in NL e-book,https://undutchables.nl/candidates/resources/finding-a-job-in-nl,en,"/cv-maken-in-engels | /tools/zoekjaar-checker | /tools/kennismigrant-salary-checker","Good fit for resource inclusion aimed at internationals moving into Dutch work and visa processes.","Undutchables content or candidate resources contact",todo
P2,Tier 3,bootcamp,HackYourFuture - Program,https://hackyourfuture.net/program,en,"/engels-cv-template | /for-coaches | /tools/zoekjaar-checker","Partner or alumni-support angle for refugees and displaced talent entering the Dutch job market.","HackYourFuture partnerships or program team",todo
P2,Tier 3,bootcamp,HackYourFuture - Hiring,https://www.hackyourfuture.net/hiring,en,"/partners | /for-coaches","Partnership angle: candidate-readiness resources and Dutch-market CV support for hiring ecosystem and trainees.","HackYourFuture partnerships team",todo
P2,Tier 3,bootcamp,Ironhack Netherlands - Remote bootcamps,https://www.ironhack.com/nl-en/remote,en,"/engels-cv-template | /for-coaches | /cv-maken-in-engels","Career-services follow-up resource for graduates entering the Dutch market.","Ironhack admissions or career services",todo
P2,Tier 3,bootcamp,Ironhack - UX/UI Amsterdam,https://www.ironhack.com/nl/ux-ui-design/amsterdam,nl,"/engels-cv-template | /cv-voorbeelden | /for-coaches","Bootcamp graduates need portfolio-aware CV support; pitch a post-bootcamp resource stack.","Ironhack admissions or career services",todo
P2,Tier 3,student-media,HvA - Afgestudeerd, wat nu?,https://www.hva.nl/evenementen/2025/5/floor---afgestudeerd-wat-nu,nl,"/cv-maken | /tools/netto-bruto-calculator | /tools/salaris-onderhandeling","Event-related angle around first-job CVs and salary readiness for starters.","Event organizer or HvA communication team",todo
P2,Tier 3,student-media,Trajectum - E-book Effectief Solliciteren,https://trajectum.hu.nl/e-book-effectief-solliciteren/,nl,"/cv-maken | /gratis-cv-template | /cv-gids","Student-media resource-page inclusion or editorial collaboration around practical CV building.","Trajectum editorial team",todo
